player_id,name,position,current_team,jersey_number
342,Cameron Wake,DE,,91.0
11572,Player Invalid,RB,,
1588,Nick Moody,LB,,55.0
6206,Cody Brown,SS,,0.0
13089,Caleb Etienne,OL,MIN,79.0
2225,Alex Bayer,TE,,82.0
4809,Brandon Greene,G,,75.0
6125,Jeffery Simmons,DT,TEN,98.0
HOU,,DEF,HOU,
3294,Dak Prescott,QB,DAL,4.0
4031,Travis Wilson,TE,,87.0
4084,Tyus Bowser,LB,,51.0
6241,Jontrell Rocquemore,S,,0.0
11611,Player Invalid,WR,,
11252,Christian Young,DB,,46.0
1910,Connor Shaw,QB,,0.0
7770,Patrick Johnson,LB,PHI,48.0
7373,Gus Cumberlander,DE,,59.0
3499,Dillon Lee,OLB,,0.0
16,Ray Rice,RB,,27.0
51,Anthony Fasano,TE,,80.0
12330,Aaron Brule,LB,,
10934,Zach Harrison,DE,ATL,96.0
7120,Trevis Gipson,LB,CAR,52.0
7274,Tyler Simmons,WR,,82.0
5359,Dorren Miller,WR,,18.0
2127,Mohammed Seisay,CB,,26.0
934,Ryan Taylor,TE,,86.0
7017,Trajan Bandy,CB,,40.0
8010,Kenny Randall,DT,,0.0
7873,Jordan Meredith,OL,LV,61.0
3768,Darius Powe,WR,,80.0
6880,Logan Wilson,LB,DAL,55.0
8296,Kaiir Elam,DB,TEN,35.0
5079,Darius Phillips,CB,,25.0
11324,Anderson Hardy,OL,,68.0
12752,Eric Gregory,DT,NE,55.0
8473,Eric Johnson,DT,IND,98.0
3517,Hunter Sharp,WR,,15.0
2851,Kaleb Eulls,DT,,96.0
12180,Alex McNulty,K,,
2498,Derron Smith,SS,,37.0
2661,Brock Hekking,OLB,,59.0
7869,David Moore,G,,60.0
3609,Chris King,WR,,0.0
421,Matthew Stafford,QB,LAR,9.0
6654,JoJo Tillery,FS,,0.0
1293,Jeremy Stewart,RB,,27.0
4368,Hardy Nickerson,LB,,56.0
11636,Johnny Wilson,WR,PHI,89.0
5258,Damon Gibson,WR,,9.0
8134,Khalil Shakir,WR,BUF,10.0
7380,Tyler Haycraft,T,,61.0
6023,Iman Marshall,CB,,37.0
1634,Jason Weaver,OT,,0.0
5513,Tracy Sprinkle,DT,,0.0
467,Sean Smith,CB,,6.0
6555,AJ Cole,P,LV,6.0
3823,Sam Carlson,G,,69.0
5398,Justin Crawford,RB,,0.0
8312,Kalon Barnes,DB,,31.0
7828,Noah Gray,TE,KC,83.0
3603,Kameron Canaday,LS,,46.0
10861,Xazavian Valladay,RB,,47.0
13262,Paschal Ekeji,DE,NYJ,54.0
11667,Dallas Turner,LB,MIN,15.0
6098,Ben Burr-Kirven,LB,,48.0
13095,Wande Owens,DB,BUF,30.0
12564,Kenneth Grant,DL,MIA,90.0
11218,Cam Bright,LB,,49.0
12006,Sheridan Jones,CB,,
5482,Austin Davis,C,,60.0
NE,,DEF,NE,
4814,De'Quan Hampton,WR,,0.0
7397,Parker Houston,TE,,86.0
13148,Aaron Smith,LB,,
12579,Jordan Burch,DL,ARI,52.0
6841,Jordan Elliott,DT,SF,92.0
11557,Joe Milton,QB,DAL,10.0
5052,Ronald Jones,RB,,32.0
4128,Chad Williams,WR,,0.0
888,Sterling Moore,CB,,30.0
3059,Dan Campbell,,,0.0
6516,Blake Blackmar,G,,63.0
5677,Mo Porter,OT,,77.0
3128,Jim Schwartz,,,0.0
11054,Travis Bell,DL,,95.0
6626,Isaac Zico,WR,,80.0
6757,James Fisher,LS,,0.0
6780,Joe Houston,,,
2550,Taurean Nixon,CB,,31.0
5995,Justice Hill,RB,BAL,43.0
3524,Marquise Williams,QB,,0.0
1375,Marc Anthony,CB,,35.0
7753,Pressley Harvin,P,,5.0
3941,Tylor Harris,DT,,64.0
4115,Pat Elflein,G,,69.0
11764,Josh Newton,CB,CIN,28.0
1784,Ross Weaver,CB,,41.0
5895,Chris Lindstrom,G,ATL,63.0
5477,Reggie Hunter,LB,,47.0
4421,Jacob Hollister,TE,,87.0
5055,M.J. Stewart,DB,HOU,29.0
10886,Peter Skoronski,OL,TEN,77.0
2926,Earnest Pettway,TE,,0.0
2887,Quan Bray,WR,,11.0
2681,Terry Redden,DT,,0.0
12925,Jamaal Pritchett,WR,NYJ,81.0
2891,Deontay Greenberry,DE,,0.0
